mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_alpha,param_hidden_layer_sizes,param_solver,param_verbose,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
9.59754490852356,0.9928711749281445,0.020345783233642577,0.0062669577160625245,relu,10,"(5, 2)",adam,1,"{'activation': 'relu', 'alpha': 10, 'hidden_layer_sizes': (5, 2), 'solver': 'adam', 'verbose': 1}",0.23,0.45,0.445,0.505,0.375,0.40099999999999997,0.09494208761134336,55
3.9452349662780763,0.4781727646453759,0.027328872680664064,0.02055086526920372,relu,50,"(10, 5)",lbfgs,1,"{'activation': 'relu', 'alpha': 50, 'hidden_layer_sizes': (10, 5), 'solver': 'lbfgs', 'verbose': 1}",0.805,0.615,0.76,0.75,0.755,0.7369999999999999,0.06407807737440319,22
11.56744294166565,0.5019448323918644,0.019946527481079102,0.002748326404949439,relu,50,"(10, 5)",sgd,1,"{'activation': 'relu', 'alpha': 50, 'hidden_layer_sizes': (10, 5), 'solver': 'sgd', 'verbose': 1}",0.215,0.12,0.235,0.215,0.12,0.181,0.05033885179461288,75
10.725314521789551,1.0820909966797163,0.02114405632019043,0.006193272502915949,relu,50,"(10, 5)",adam,1,"{'activation': 'relu', 'alpha': 50, 'hidden_layer_sizes': (10, 5), 'solver': 'adam', 'verbose': 1}",0.31,0.225,0.225,0.405,0.205,0.274,0.07485986908885162,70
2.0282778263092043,1.4831316282474556,0.020545578002929686,0.0029996536239602994,relu,50,"(5, 2)",lbfgs,1,"{'activation': 'relu', 'alpha': 50, 'hidden_layer_sizes': (5, 2), 'solver': 'lbfgs', 'verbose': 1}",0.115,0.41,0.12,0.59,0.4,0.32699999999999996,0.18394564414522022,63
9.392613124847411,0.48066931182073896,0.020743417739868163,0.005691366982793995,relu,50,"(5, 2)",sgd,1,"{'activation': 'relu', 'alpha': 50, 'hidden_layer_sizes': (5, 2), 'solver': 'sgd', 'verbose': 1}",0.135,0.085,0.115,0.1,0.12,0.11100000000000002,0.017146428199482245,95
9.355310106277466,0.4788761547524737,0.018949604034423827,0.0028181083819586753,relu,50,"(5, 2)",adam,1,"{'activation': 'relu', 'alpha': 50, 'hidden_layer_sizes': (5, 2), 'solver': 'adam', 'verbose': 1}",0.115,0.135,0.12,0.115,0.225,0.142,0.04214261501141096,79
4.306391954421997,0.41754361360200176,0.021342039108276367,0.004573956450601786,logistic,0.001,"(10, 5)",lbfgs,1,"{'activation': 'logistic', 'alpha': 0.001, 'hidden_layer_sizes': (10, 5), 'solver': 'lbfgs', 'verbose': 1}",0.64,0.795,0.685,0.715,0.765,0.72,0.05531726674375733,24
6.89279465675354,1.5249026669156664,0.02134361267089844,0.005108323488366649,logistic,0.001,"(10, 5)",sgd,1,"{'activation': 'logistic', 'alpha': 0.001, 'hidden_layer_sizes': (10, 5), 'solver': 'sgd', 'verbose': 1}",0.105,0.115,0.115,0.115,0.12,0.11400000000000002,0.004898979485566357,93
9.762925815582275,0.5881122948655604,0.02433323860168457,0.0025743437712438134,logistic,0.001,"(10, 5)",adam,1,"{'activation': 'logistic', 'alpha': 0.001, 'hidden_layer_sizes': (10, 5), 'solver': 'adam', 'verbose': 1}",0.385,0.515,0.425,0.44,0.585,0.4699999999999999,0.07127411872482184,48
