mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_algorithm,param_n_neighbors,param_p,param_weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.15777297,0.018619857,0.585434818,0.02442903,kd_tree,200,2,uniform,"{'algorithm': 'kd_tree', 'n_neighbors': 200, 'p': 2, 'weights': 'uniform'}",0.54,0.57,0.53,0.54,0.525,0.541,0.015620499,31
0.144016075,0.011691669,0.66003809,0.078974923,kd_tree,200,2,distance,"{'algorithm': 'kd_tree', 'n_neighbors': 200, 'p': 2, 'weights': 'distance'}",0.57,0.62,0.565,0.57,0.615,0.588,0.024207437,25
0.040292215,0.010752085,1.137489176,0.079799089,brute,5,1,uniform,"{'algorithm': 'brute', 'n_neighbors': 5, 'p': 1, 'weights': 'uniform'}",0.845,0.82,0.825,0.82,0.85,0.832,0.012884099,10
0.058442545,0.006635957,1.271915817,0.075656981,brute,5,1,distance,"{'algorithm': 'brute', 'n_neighbors': 5, 'p': 1, 'weights': 'distance'}",0.845,0.83,0.84,0.84,0.845,0.84,0.005477226,7
0.055250025,0.01322634,0.089562511,0.010316819,brute,5,2,uniform,"{'algorithm': 'brute', 'n_neighbors': 5, 'p': 2, 'weights': 'uniform'}",0.865,0.825,0.865,0.84,0.855,0.85,0.015491933,4
0.056852865,0.014120839,0.067012691,0.017767011,brute,5,2,distance,"{'algorithm': 'brute', 'n_neighbors': 5, 'p': 2, 'weights': 'distance'}",0.86,0.845,0.875,0.86,0.875,0.863,0.011224972,1
0.061238337,0.010792339,1.545264053,0.176290331,brute,50,1,uniform,"{'algorithm': 'brute', 'n_neighbors': 50, 'p': 1, 'weights': 'uniform'}",0.705,0.735,0.71,0.69,0.745,0.717,0.020149442,22
0.093553257,0.036273822,1.730365038,0.200908917,brute,50,1,distance,"{'algorithm': 'brute', 'n_neighbors': 50, 'p': 1, 'weights': 'distance'}",0.725,0.76,0.74,0.73,0.78,0.747,0.020396078,19
0.099141502,0.009643581,0.133037615,0.025124214,brute,50,2,uniform,"{'algorithm': 'brute', 'n_neighbors': 50, 'p': 2, 'weights': 'uniform'}",0.74,0.77,0.76,0.725,0.785,0.756,0.021307276,16
0.066020012,0.023783351,0.09834075,0.028048712,brute,50,2,distance,"{'algorithm': 'brute', 'n_neighbors': 50, 'p': 2, 'weights': 'distance'}",0.75,0.785,0.77,0.74,0.805,0.77,0.023452079,13
0.086768436,0.03010634,1.777566195,0.371385934,brute,200,1,uniform,"{'algorithm': 'brute', 'n_neighbors': 200, 'p': 1, 'weights': 'uniform'}",0.5,0.495,0.495,0.49,0.48,0.492,0.00678233,34
0.084184313,0.024842392,1.261721134,0.170933112,brute,200,1,distance,"{'algorithm': 'brute', 'n_neighbors': 200, 'p': 1, 'weights': 'distance'}",0.54,0.595,0.555,0.555,0.57,0.563,0.018601075,28
0.051461792,0.011759022,0.085171175,0.011816262,brute,200,2,uniform,"{'algorithm': 'brute', 'n_neighbors': 200, 'p': 2, 'weights': 'uniform'}",0.54,0.57,0.53,0.54,0.525,0.541,0.015620499,31
0.050671482,0.016242484,0.071002674,0.003248431,brute,200,2,distance,"{'algorithm': 'brute', 'n_neighbors': 200, 'p': 2, 'weights': 'distance'}",0.57,0.62,0.565,0.57,0.615,0.588,0.024207437,25
